00001.jpg,disgust
00002.jpg,neutral
00003.jpg,happiness
00004.jpg,surprise
00005.jpg,neutral
00006.jpg,happiness
00007.jpg,happiness
00008.jpg,neutral
00009.jpg,neutral
00010.jpg,neutral
00011.jpg,neutral
00012.jpg,happiness
00013.jpg,neutral
00014.jpg,neutral
00015.jpg,neutral
00016.jpg,happiness
00017.jpg,happiness
00018.jpg,happiness
00019.jpg,surprise
00020.jpg,neutral
00021.jpg,neutral
00022.jpg,anger
00023.jpg,happiness
00024.jpg,happiness
00025.jpg,happiness
00026.jpg,neutral
00027.jpg,happiness
00028.jpg,neutral
00029.jpg,neutral
00030.jpg,happiness
00031.jpg,neutral
00032.jpg,anger
00033.jpg,happiness
00034.jpg,neutral
00035.jpg,neutral
00036.jpg,neutral
00037.jpg,happiness
00038.jpg,happiness
00039.jpg,neutral
00040.jpg,happiness
00041.jpg,neutral
00042.jpg,neutral
00043.jpg,happiness
00044.jpg,neutral
00045.jpg,happiness
00046.jpg,surprise
00047.jpg,happiness
00048.jpg,neutral
00049.jpg,neutral
00050.jpg,neutral
00051.jpg,happiness
00052.jpg,neutral
00053.jpg,happiness
00054.jpg,neutral
00055.jpg,happiness
00056.jpg,happiness
00057.jpg,neutral
00058.jpg,neutral
00059.jpg,happiness
00060.jpg,happiness
00061.jpg,neutral
00062.jpg,neutral
00063.jpg,happiness
00064.jpg,neutral
00065.jpg,happiness
00066.jpg,neutral
00067.jpg,neutral
00068.jpg,neutral
00069.jpg,neutral
00070.jpg,neutral
00071.jpg,surprise
00072.jpg,neutral
00073.jpg,neutral
00074.jpg,happiness
00075.jpg,happiness
00076.jpg,happiness
00077.jpg,sadness
00078.jpg,neutral
00079.jpg,sadness
00080.jpg,happiness
00081.jpg,neutral
00082.jpg,happiness
00083.jpg,neutral
00084.jpg,happiness
00085.jpg,neutral
00086.jpg,happiness
00087.jpg,anger
00088.jpg,neutral
00089.jpg,happiness
00090.jpg,neutral
00091.jpg,happiness
00092.jpg,happiness
00093.jpg,neutral
00094.jpg,neutral
00095.jpg,neutral
00096.jpg,neutral
00097.jpg,neutral
00098.jpg,happiness
00099.jpg,sadness
00100.jpg,happiness
00101.jpg,anger
00102.jpg,disgust
00103.jpg,anger
00104.jpg,neutral
00105.jpg,neutral
00106.jpg,happiness
00107.jpg,happiness
00108.jpg,neutral
00109.jpg,neutral
00110.jpg,neutral
00111.jpg,sadness
00112.jpg,neutral
00113.jpg,happiness
00114.jpg,neutral
00115.jpg,happiness
00116.jpg,happiness
00117.jpg,happiness
00118.jpg,neutral
00119.jpg,neutral
00120.jpg,happiness
00121.jpg,surprise
